folders,animal,sex,imgs,lefteye_x,lefteye_y,righteye_x,righteye_y,mantle_tip_x,mantle_tip_y,l1_tip_x,l1_tip_y,r1_tip_x,r1_tip_y,r2_tip_x,r2_tip_y,r3_tip_x,r3_tip_y,r4_tip_x,r4_tip_y,l4_tip_x,l4_tip_y,l3_tip_x,l3_tip_y,l2_tip_x,l2_tip_y
10069_10089_fc,nur,F,img08.png,299.5564026625457,307.45645925024945,314.54706386612474,302.56820016212583,294.66814357442206,355.3613983138607,250.34792784210143,250.42676988880743,315.1988317445413,243.25732322622613,356.911975963196,225.65959050898115,380.70150352539747,252.38207352405686,367.3402620178597,306.1529234934165,253.9326511733921,394.7933549580578,227.86193603673286,333.52717438690865,213.19715877236206,302.24231622291757
10069_10089_fc,nur,F,img12.png,302.822952232101,302.98219102925304,317.9082249019018,298.0794774115678,312.6283794674715,348.9922726721455,240.5962024691727,232.8356731146793,355.3857857714835,209.68333274217898,382.6053482141274,233.4962451156471,388.9048950067254,292.41553570524013,352.2192989792429,222.3793978345918,251.42655029767494,413.95973264477794,211.77646166191107,392.8377228107729,193.24838286015225,320.9487770599487
10069_10089_fc,nur,F,img14.png,302.6021999466086,301.20515181688677,316.6715819929918,297.36804762241866,313.5450526493511,346.68194226984247,246.35513240444624,227.79309157527996,342.52412930140713,209.61858044032488,378.69176544586685,235.6421842850926,393.7928066933713,290.71657001128517,329.28668576294774,228.60060443902114,253.25439290571353,418.731862728355,198.34689129355098,403.1012600796372,175.1013796621245,315.7301991201376
10141_10265_fc,sla,F,img035.png,304.6480135420146,305.9562294906489,298.96161010085336,293.50496678327863,339.0605585049042,288.0146462193988,252.3121054087095,368.67792933336807,225.1901517584753,344.6071954687853,198.746246949497,257.47791936740794,290.6218649396653,218.82913541582423,374.3608968347633,253.07060189924488,389.61699576302004,296.12670331899164,377.4121166204147,354.0998792463672,345.8828455020174,358.16817229390233
10141_10265_fc,sla,F,img037.png,303.1447831540714,305.28088829520243,297.50751662502563,292.98139768637526,339.530776205185,287.3441311573295,277.5208443856815,364.98466562555075,272.90853540737135,346.53542971231,229.8603182764764,277.35079503765746,301.607346827968,219.9531721964642,374.1230935425113,284.2692585051227,377.7104449700859,321.423969719288,378.7354025208215,352.9414144044075,346.19300028496633,367.8032988900736
10141_10265_fc,sla,F,img098.png,306.2648680964429,309.8208589232973,301.515898111368,297.5831285771427,341.8821429845048,293.1994639755351,227.9068633427067,345.62078650309286,211.46812108667814,349.45649302949954,179.3212473415556,289.7290628325957,295.1230539006902,266.16686559895476,256.2180305614226,275.84745826083827,332.38420301435497,271.0984882757633,,,211.46812108667814,363.338097601257
1015_1129_fc,sla,F,img033.png,308.1711601998371,302.09090502575924,295.28741455078125,303.09222412109375,299.608822506769,259.27921656041866,357.7443486168488,384.71854977667215,323.4566650390625,449.3238830566406,203.18569695114465,419.090548430687,280.41657554432595,181.60527189920964,363.07591608144935,252.7358096772079,381.3479808317609,239.24928569483507,443.7775353953251,287.53974253494397,432.2487326362,330.6096094463925
1015_1129_fc,sla,F,img083.png,309.7708889781106,308.76485698520764,298.6409012156356,302.4048639780791,335.52886065698124,266.1529038374464,283.37691799852706,376.18078286077036,184.7970263880344,279.8268888027727,222.32098513009288,261.70090873245636,250.62295401181495,207.64096817186362,305.00089422276415,259.4749111799614,338.7088571605455,270.92289859279276,394.9947952736332,294.136873068812,371.43853759765625,341.60455322265625
10180_10249_fc,sla,F,img30.png,307.1862260916656,305.80667180800765,300.8998197804873,292.9920743275288,338.13468793131267,289.6070863138174,234.16719893874836,309.4334446798413,180.5467529296875,252.20016479492188,192.33841848360035,256.48256075107014,228.3643623438145,241.9754692637356,342.2450305193908,276.79248883333855,339.10182736380165,309.67522953796356,309.8458595310103,313.3020024097972,266.0828002108844,329.01801818774294
10180_10249_fc,sla,F,img47.png,305.55198794534397,304.36640934200295,300.3220763403084,293.38359497142847,340.33090011882985,289.19966568740006,174.65560913085938,313.476806640625,194.66567993164062,245.77587890625,235.47117243786863,233.76260267402412,336.669961995305,259.38916953869796,,,341.1153868595851,276.1248866748114,283.0633680436914,352.743091688581,218.7354553017551,317.96417951509517
